date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,group_size,area,collar ID of group members,lat,long,notes
07-May-16,0,0,6,4,4,0,0,10,CapeCove,FO2016012,,,
07-May-16,0,0,6,4,4,0,0,10,CapeCove,FO2016015,,,
08-May-16,0,0,2,0,0,0,0,2,Seldom,FO2016006,,,
23-May-16,0,0,3,0,0,0,0,3,Turpins,FO2016010,49.73644,54.15189,
24-May-16,0,0,3,0,0,0,0,3,CapeCove,FO2016008,49.68351,54.05461,
29-May-16,0,0,2,1,1,0,0,3,Turpins,FO2016010,49.74597,54.15164,
02-Jun-16,0,0,1,0,0,0,0,1,WesternIndianIsland,FO2016001,49.54066,54.32888,
02-Jun-16,0,0,1,0,0,1,0,2,WesternIndianIsland,FO2016016,49.74708,54.13676,
03-Jun-16,0,0,1,0,0,1,0,2,Turpins,FO2016010 & FO2016017,49.74614,54.11867,
03-Jun-16,0,0,2,0,0,2,0,4,Turpins,FO2016018,49.65954,54.01407,
07-Jun-16,0,0,1,0,0,1,0,2,CapeCove,FO2016012,49.65403,54.0121,
07-Jun-16,0,0,5,0,0,4,0,9,CapeCove,FO2016014,49.69424,54.07601,
08-Jun-16,0,0,2,0,0,1,0,3,Tilting,FO2016015,49.73283,54.13828,
10-Jun-16,0,0,2,0,0,1,0,3,Turpins,,,,
10-Jun-16,0,0,2,0,0,2,4,8,Turpins,,,,
10-Jun-16,0,0,1,0,0,1,0,2,Turpins,,,,
11-Jun-16,1,0,2,0,0,0,0,3,Turpins,FO2016015,49.71519,54.10828,
11-Jun-16,0,0,0,0,0,0,1,1,Turpins,,,,
11-Jun-16,0,0,1,0,0,0,0,1,Turpins,,,,
11-Jun-16,0,0,1,0,0,0,0,1,Turpins,,,,
11-Jun-16,0,0,1,0,0,1,0,2,Turpins,,,,
11-Jun-16,0,0,0,1,1,0,0,1,Turpins,,,,
11-Jun-16,0,0,0,1,1,0,0,1,Turpins,,,,
11-Jun-16,0,0,0,3,3,0,0,3,Turpins,,,,
11-Jun-16,0,0,0,1,1,0,0,1,Turpins,,,,
12-Jun-16,0,0,1,0,0,1,0,2,LionsDen,FO2016004,49.71519,54.10828,
12-Jun-16,0,0,1,0,0,0,0,1,ShoalBay,FO2016005,49.66462,54.19666,
12-Jun-16,0,0,1,0,0,1,0,2,ShoalBay,FO2016020,49.70377,54.24909,
14-Jun-16,0,0,1,0,0,0,0,1,ShoalBay,FO2016005,49.66415,54.19545,
16-Jun-16,0,0,1,0,0,1,0,2,JBA,FO2016010 & FO2016017,49.747,54.13562,
16-Jun-16,0,0,0,2,2,0,0,2,JBA,,,,
16-Jun-16,0,0,0,1,1,0,0,1,JBA,,,,
16-Jun-16,0,0,2,0,0,2,0,4,JBA,,,,
16-Jun-16,0,0,0,1,1,0,0,1,JBA,,,,
16-Jun-16,0,0,2,3,3,2,0,7,JBA,,,,
16-Jun-16,0,0,2,3,3,4,0,9,JBA,,,,
16-Jun-16,0,0,0,1,1,0,0,1,JBA,,,,
16-Jun-16,0,0,0,2,2,0,0,2,JBA,,,,
16-Jun-16,1,0,0,1,1,0,0,2,JBA,,,,
17-Jun-16,0,0,1,0,0,0,0,1,Tilting,FO2016015,,,
17-Jun-16,0,0,1,0,0,1,0,2,Tilting,,,,
18-Jun-16,0,0,3,3,3,3,0,9,LionsDen,FO2016003 & FO2016004,49.72028,54.24337,
18-Jun-16,0,0,0,1,1,0,0,1,LionsDen,,,,
18-Jun-16,0,0,0,3,3,0,0,3,LionsDen,,,,
18-Jun-16,0,0,0,2,2,0,0,2,LionsDen,,,,
18-Jun-16,0,0,0,1,1,0,0,1,LionsDen,,,,
19-Jun-16,0,0,1,1,1,1,0,3,LionsDen,FO2016003,49.71449,54.2341,
19-Jun-16,0,0,1,0,0,1,0,2,LionsDen,FO2016004,49.71299,54.2351,
19-Jun-16,0,0,1,0,0,0,0,1,ShoalBay,FO2016005,49.65735,54.19129,
19-Jun-16,0,2,0,0,2,0,0,2,ShoalBay,,,,
19-Jun-16,0,0,1,0,0,1,0,2,LionsDen,,,,
20-Jun-16,0,0,4,0,0,2,3,9,CapeCove,FO2016008 & FO2016012,49.65445,54.01452,possible coyote predation on this group
20-Jun-16,0,0,1,0,0,1,0,2,CapeCove,,,,
20-Jun-16,0,0,0,1,1,0,0,1,CapeCove,,,,
20-Jun-16,0,0,0,0,0,0,1,1,CapeCove,,,,
20-Jun-16,0,0,0,0,0,0,1,1,CapeCove,,,,
20-Jun-16,0,0,0,0,0,0,3,3,CapeCove,,,,
20-Jun-16,0,0,1,0,0,0,0,1,CapeCove,,,,
20-Jun-16,0,0,0,1,1,0,0,1,CapeCove,,,,
20-Jun-16,0,0,0,0,0,0,1,1,CapeCove,,,,
21-Jun-16,0,1,0,2,3,0,0,3,LionsDen,,,,
